Algorithm,Dim,F1-score,Precision,Recall,Accuracy,Detectors,Compl. runs
NSA-GA,1D,0.867 $\pm$ 0.15\%,0.926 $\pm$ 0.84\%,0.815 $\pm$ 0.51\%,0.875 $\pm$ 0.20\%,1217 $\pm$ 152.2,Y
NSA-GA,2D,0.861 $\pm$ 0.34\%,0.883 $\pm$ 0.50\%,0.839 $\pm$ 1.06\%,0.864 $\pm$ 0.22\%,2008 $\pm$ 229.5,Y
NSA-GA,3D,0.788 $\pm$ 0.22\%,0.916 $\pm$ 0.24\%,0.692 $\pm$ 0.28\%,0.814 $\pm$ 0.17\%,2967 $\pm$ 51.6,N
NSA-GA,4D,0.684 $\pm$ 1.06\%,0.927 $\pm$ 0.35\%,0.542 $\pm$ 1.25\%,0.750 $\pm$ 0.65\%,3000 $\pm$ 0.0,N
NSA-NSGA-II,1D,0.869 $\pm$ 0.15\%,0.926 $\pm$ 0.30\%,0.819 $\pm$ 0.07\%,0.877 $\pm$ 0.16\%,1367 $\pm$ 34.2,Y
NSA-NSGA-II,2D,0.869 $\pm$ 0.13\%,0.894 $\pm$ 0.41\%,0.845 $\pm$ 0.41\%,0.873 $\pm$ 0.13\%,2100 $\pm$ 168.8,Y
NSA-NSGA-II,3D,0.814 $\pm$ 1.32\%,0.910 $\pm$ 0.68\%,0.736 $\pm$ 1.71\%,0.832 $\pm$ 1.07\%,3000 $\pm$ 0.0,N
NSA-NSGA-II,4D,0.655 $\pm$ 0.65\%,0.927 $\pm$ 0.23\%,0.507 $\pm$ 0.72\%,0.733 $\pm$ 0.39\%,2983 $\pm$ 25.8,N
