Dimension,Algorithm,F1-score,Precision,Recall,Accuracy,Detectors
1D,nsgaii,0.994,0.989,0.999,0.994,58.333
1D,ga,0.993,0.987,0.999,0.993,66.667
2D,nsgaii,0.981,0.977,0.985,0.981,225.0
4D,nsgaii,0.978,0.979,0.977,0.978,541.667
2D,ga,0.977,0.978,0.976,0.977,250.0
3D,nsgaii,0.964,0.976,0.951,0.964,283.333
3D,ga,0.949,0.975,0.925,0.951,408.333
4D,ga,0.94,0.983,0.901,0.943,325.0
