Dimension,Algorithm,F1-score,Precision,Recall,Accuracy,Detectors
1D,ga,0.95,0.967,0.933,0.951,408.333
1D,nsgaii,0.95,0.964,0.937,0.951,483.333
2D,nsgaii,0.932,0.936,0.929,0.933,908.333
2D,ga,0.927,0.929,0.925,0.927,925.0
4D,nsgaii,0.918,0.954,0.886,0.921,2875.0
4D,ga,0.891,0.953,0.836,0.898,3000.0
3D,nsgaii,0.889,0.925,0.855,0.893,1925.0
3D,ga,0.886,0.925,0.851,0.891,2608.333
