Algorithm,Embedding,Dim,F1-score,Precision,Recall,Accuracy,Detectors,Compl. runs
NSA-NSGA-II,roberta-base,1D,0.994 $\pm$ 0.06\%,0.989 $\pm$ 0.12\%,0.999 $\pm$ 0.00\%,0.994 $\pm$ 0.06\%,58 $\pm$ 12.9,Y
NSA-GA,roberta-base,1D,0.993 $\pm$ 0.13\%,0.987 $\pm$ 0.28\%,0.999 $\pm$ 0.02\%,0.993 $\pm$ 0.13\%,67 $\pm$ 25.8,Y
NSA-NSGA-II,roberta-base,2D,0.981 $\pm$ 0.32\%,0.977 $\pm$ 0.35\%,0.985 $\pm$ 0.70\%,0.981 $\pm$ 0.31\%,225 $\pm$ 59.2,Y
NSA-NSGA-II,roberta-base,4D,0.978 $\pm$ 0.17\%,0.979 $\pm$ 0.14\%,0.977 $\pm$ 0.44\%,0.978 $\pm$ 0.16\%,542 $\pm$ 182.1,Y
NSA-GA,roberta-base,2D,0.977 $\pm$ 0.50\%,0.978 $\pm$ 0.24\%,0.976 $\pm$ 0.80\%,0.977 $\pm$ 0.49\%,250 $\pm$ 38.7,Y
