algorithm,dataset,dimension,precision_avg,precision_stdev,recall_avg,recall_stdev,accuracy_avg,accuracy_stdev,f1_avg,f1_stdev,true_detected_avg,true_detected_stdev,true_total_avg,true_total_stdev,fake_detected_avg,fake_detected_stdev,fake_total_avg,fake_total_stdev,negative_space_coverage_avg,negative_space_coverage_stdev,time_to_build_avg,time_to_build_stdev,detectors_count_avg,detectors_count_stdev,time_to_infer_avg,time_to_infer_stdev,self_region_avg,self_region_stdev,stagnation
ga,bert-base-cased,1D,0.9264718604543265,0.008410029759451366,0.8154372860255213,0.005132557293851723,0.8753112356053533,0.0020143340538336598,0.8673747916271357,0.001493911222385141,277.6666666666667,,4284,,3493.3333333333335,,4284,,39.35915211975628,,4054.540750933333,876.1733045449799,1216.6666666666667,152.206000757745,44.28713406666672,6.682171078923253,0.0011762809237403362,0.0,5
ga,bert-base-cased,2D,0.8833312297634085,0.004986486128599176,0.83948023653906,0.010551988682917781,0.8642623716153128,0.0022218494928647526,0.8607893105188799,0.003421647316915083,475.3333333333333,,4284,,3596.3333333333335,,4284,,751.7648216025995,,8879.840040533316,1933.3456002933515,2008.3333333333333,229.49219304078008,48.906882799996914,8.531930845015804,0.025461932137048476,0.0,5
ga,bert-base-cased,3D,0.9160611390236925,0.0023823694480866408,0.6920323685029567,0.0028423156070540513,0.8143090569561158,0.0017436834170852504,0.7884384029451643,0.002167003103028449,271.6666666666667,,4284,,2964.6666666666665,,4284,,36674.47781054662,,15461.284576266664,53.269310775116416,2966.6666666666665,51.63977794943222,71.29809176666215,2.802630054174474,0.0730232644498156,0.0,1.3333333333333333
ga,bert-base-cased,4D,0.9273909287655628,0.0034628353015815766,0.5418611889200124,0.012548431395815214,0.7497276688453159,0.006484334469343478,0.6839852961726125,0.010627364373250596,181.66666666666666,,4284,,2321.3333333333335,,4284,,328889.8034095696,,19686.85530190001,77.45946231924883,3000,0.0,73.03779460000806,1.3109026050922126,0.07325451668655299,0.0,0
ga,distilbert-base-cased,1D,0.9568006843757789,0.009981763608005652,0.9051509492685963,0.005665428486515653,0.9320728291316527,0.002308447304402628,0.9302055341064954,0.001802755682540551,175.66666666666666,,4284,,3877.6666666666665,,4284,,46.569985084099365,,1073.209893466672,310.9316740267825,466.6666666666667,103.27955589886444,15.73396979998021,3.016143794921629,0.0013251368642026274,0.0,5
ga,distilbert-base-cased,2D,0.9178449670735153,0.005548147922623921,0.9046062869592282,0.002610485740908423,0.911803610333022,0.0033050012065037036,0.9111695279713709,0.0031356557261956403,347,,4284,,3875.3333333333335,,4284,,1472.6764631621566,,3981.0854965000003,948.9773521507509,966.6666666666666,127.14820748507101,31.5011318333333,5.881968924318449,0.02268006840423288,0.0,5
ga,distilbert-base-cased,3D,0.9257217803933631,0.004275423099280986,0.8450824774354186,0.007759697251041328,0.8886165577342048,0.002328034006219873,0.8835343506724653,0.0029824279594485633,290.6666666666667,,4284,,3620.3333333333335,,4284,,51245.22300088241,,14052.498253399994,3364.7720853125784,2341.6666666666665,313.315602335196,50.238338733329634,3.9494121529087445,0.052049825605859155,0.0,5
ga,distilbert-base-cased,4D,0.95124094757259,0.004046735840883811,0.883208839091192,0.02235183089322819,0.9189231248054778,0.00883595362136407,0.9157994641541622,0.010370685519575547,194.33333333333334,,4284,,3783.6666666666665,,4284,,2178009.212447123,,40851.82962779999,6451.334532031288,2783.3333333333335,335.65855667130944,55.89007439999841,4.9014065470393735,0.05291527450301118,0.0,1.6666666666666667
ga,fasttext,1D,0.966878479927052,0.0032510973719364795,0.933162153750389,0.0014211578035270257,0.9505913476501712,0.0010031012990652512,0.9497165754090171,0.0009111550108957616,137,,4284,,3997.6666666666665,,4284,,50.8995488300272,,986.8830063666683,124.60243783517447,408.3333333333333,46.54746681256314,13.73551993332027,1.3310971314763134,0.0009486254806622267,0.0,5
ga,fasttext,2D,0.9289054820759794,0.004147872536674845,0.9246809835045129,0.004623184658873072,0.926937441643324,0.00018081154744198894,0.9267711446376019,0.00031679610653154806,303.3333333333333,,4284,,3961.3333333333335,,4284,,748.3904200540952,,3277.070310666673,564.7574555272405,925,118.32159566199232,31.304587633331113,4.022134798092583,0.022840832373323603,0.0,5
ga,fasttext,3D,0.9245791692442961,0.005240262236529808,0.8506069094304389,0.014284493701784714,0.8905617802676626,0.00402460854072143,0.8859588300592109,0.005444206681181907,297.6666666666667,,4284,,3644,,4284,,25379.460291636246,,19352.087932033333,5227.879030703114,2608.3333333333335,587.5088651813406,74.28269143333394,6.736148528493955,0.05263203811863375,0.0,2
ga,fasttext,4D,0.9531615141245072,0.0024618887338915775,0.8361344537815126,0.004237835935727424,0.8975256769374417,0.0031439032973544483,0.8908198054097952,0.0034777917800691205,176,,4284,,3582,,4284,,859019.5479329422,,38502.27048776667,7062.567011010644,3000,0.0,70.90890253333298,4.114222559788445,0.046897639374378644,0.0,0
