Dimension,Algorithm,F1-score,Precision,Recall,Accuracy,Detectors
4D,nsgaii,0.937,0.947,0.928,0.938,2733.333
1D,nsgaii,0.931,0.964,0.901,0.934,416.667
1D,ga,0.93,0.957,0.905,0.932,466.667
4D,ga,0.916,0.951,0.883,0.919,2783.333
2D,ga,0.911,0.918,0.905,0.912,966.667
2D,nsgaii,0.91,0.926,0.894,0.912,891.667
3D,nsgaii,0.903,0.916,0.89,0.904,2258.333
3D,ga,0.884,0.926,0.845,0.889,2341.667
